year,anomaly
1950,-0.16
1951,-0.01
1952,0.02
1953,-0.03
1954,-0.05
1955,-0.08
1956,-0.14
1957,-0.07
1958,0.06
1959,0.05
1960,0.06
1961,0.06
1962,0.03
1963,-0.03
1964,-0.11
1965,-0.07
1966,-0.06
1967,-0.04
1968,0.08
1969,0.11
1970,0.08
1971,0.2
1972,0.02
1973,0.17
1974,0.07
1975,-0.02
1976,-0.11
1977,0.17
1978,0.07
1979,0.17
1980,0.26
1981,0.32
1982,0.14
1983,0.32
1984,0.31
1985,0.14
1986,0.18
1987,0.34
1988,0.4
1989,0.29
1990,0.44
1991,0.41
1992,0.23
1993,0.24
1994,0.31
1995,0.38
1996,0.33
1997,0.4
1998,0.61
1999,0.4
2000,0.42
2001,0.54
2002,0.56
2003,0.62
2004,0.54
2005,0.68
2006,0.61
2007,0.62
2008,0.54
2009,0.64
2010,0.72
2011,0.61
2012,0.65
2013,0.68
2014,0.75
2015,0.87
2016,1
2017,0.92
2018,0.85
2019,0.98
2020,1.02
2021,0.85
2022,0.89
2023,1.17
