country,year,co2,co2_per_capita,share_global_co2,cumulative_co2,population
China,2000,3643.81,2.87,14.283,75665.578,1269581174
China,2001,3724.114,2.912,14.495,79389.695,1278725061
China,2002,4098.181,3.185,15.603,83487.875,1286866835
China,2003,4835.251,3.735,17.486,88323.133,1294517323
China,2004,5210.961,4.002,18.214,93534.086,1302100316
China,2005,5881.991,4.49,19.872,99416.078,1310027135
China,2006,6486.185,4.921,21.201,105902.258,1318054030
China,2007,6974.663,5.261,22.142,112876.93,1325813576
China,2008,7492.404,5.617,23.377,120369.328,1333821011
China,2009,7881.491,5.871,25.01,128250.82,1342522717
China,2010,8610.048,6.37,25.842,136860.875,1351561505
China,2011,9520.153,6.999,27.611,146381.031,1360250658
China,2012,9767.311,7.132,27.943,156148.328,1369520866
China,2013,9942.371,7.21,28.185,166090.703,1379008040
China,2014,9976.027,7.188,28.129,176066.734,1387951970
China,2015,9858.04,7.061,27.845,185924.781,1396134171
China,2016,9748.175,6.943,27.543,195672.953,1404052628
China,2017,10000.014,7.08,27.797,205672.953,1412354730
China,2018,10346.79,7.292,28.167,216019.75,1419008954
China,2019,10713.515,7.526,28.888,226733.266,1423520357
China,2020,10896.521,7.641,30.993,237629.781,1426106093
China,2021,11284.401,7.911,30.609,248914.188,1426437269
China,2022,11711.808,8.218,31.208,260625.984,1425179562
European Union (27),2000,3600.416,8.42,14.113,223398.188,427627361
European Union (27),2001,3657.1,8.533,14.234,227055.281,428578326
European Union (27),2002,3657.391,8.508,13.925,230712.672,429890525
European Union (27),2003,3736.359,8.66,13.512,234449.031,431461841
European Union (27),2004,3743.384,8.644,13.084,238192.422,433058605
European Union (27),2005,3734.892,8.595,12.618,241927.312,434557134
European Union (27),2006,3752.005,8.612,12.264,245679.312,435683170
European Union (27),2007,3701.867,8.471,11.752,249381.172,436994510
European Union (27),2008,3625.826,8.268,11.313,253007,438548227
European Union (27),2009,3330.504,7.575,10.569,256337.516,439690812
European Union (27),2010,3424.327,7.772,10.278,259761.828,440608965
European Union (27),2011,3327.059,7.537,9.649,263088.906,441440625
European Union (27),2012,3258.616,7.372,9.322,266347.5,441999248
European Union (27),2013,3176.529,7.18,9.005,269524.031,442399413
European Union (27),2014,3038.861,6.86,8.568,272562.906,442964758
European Union (27),2015,3094.906,6.972,8.742,275657.812,443910920
European Union (27),2016,3094.515,6.955,8.743,278752.344,444911502
European Union (27),2017,3118.46,6.997,8.669,281870.781,445696788
European Union (27),2018,3049.484,6.83,8.302,284920.281,446503671
European Union (27),2019,2904.949,6.493,7.833,287825.219,447369201
European Union (27),2020,2627.051,5.867,7.472,290452.281,447777523
European Union (27),2021,2801.469,6.257,7.599,293253.75,447705920
European Union (27),2022,2736.946,6.094,7.293,295990.688,449113463
India,2000,987.065,0.933,3.869,18932.721,1057922731
India,2001,1001.198,0.929,3.897,19933.92,1077898579
India,2002,1032.75,0.941,3.932,20966.67,1097600380
India,2003,1068.398,0.957,3.864,22035.068,1116803000
India,2004,1134.611,0.999,3.966,23169.68,1135991509
India,2005,1195.393,1.035,4.039,24365.072,1154676321
India,2006,1293.321,1.103,4.227,25658.395,1172878888
India,2007,1393.485,1.17,4.424,27051.879,1190676028
India,2008,1490.366,1.234,4.65,28542.244,1207930960
India,2009,1613.328,1.316,5.12,30155.572,1225524764
India,2010,1678.53,1.35,5.038,31834.104,1243481565
India,2011,1765.695,1.4,5.121,33599.797,1261224956
India,2012,1926.986,1.507,5.513,35526.781,1278674501
India,2013,1995.337,1.54,5.656,37522.121,1295829507
India,2014,2148.052,1.637,6.057,39670.172,1312277184
India,2015,2231.817,1.681,6.304,41901.988,1328024494
India,2016,2352.54,1.75,6.647,44254.531,1343944296
India,2017,2425.722,1.784,6.743,46680.254,1359657398
India,2018,2595.227,1.888,7.065,49275.477,1374659067
India,2019,2611.175,1.88,7.041,51886.652,1389030307
India,2020,2422.732,1.727,6.891,54309.387,1402617694
India,2021,2675.778,1.892,7.258,56985.164,1414203896
India,2022,2831.132,1.986,7.544,59816.297,1425423209
United States,2000,6023.158,21.398,23.61,302659.188,281484126
United States,2001,5903.562,20.767,22.977,308562.719,284279634
United States,2002,5947.819,20.718,22.645,314510.531,287084335
United States,2003,6006.44,20.718,21.721,320516.969,289908091
United States,2004,6111.545,20.874,21.362,326628.531,292786248
United States,2005,6126.903,20.719,20.7,332755.438,295716666
United States,2006,6045.326,20.237,19.76,338800.781,298730208
United States,2007,6121.542,20.28,19.434,344922.312,301844223
United States,2008,5919.221,19.409,18.469,350841.531,304970325
United States,2009,5486.104,17.811,17.409,356327.656,308023452
United States,2010,5669.25,18.225,17.016,361996.875,311062785
United States,2011,5538.973,17.634,16.064,367535.844,314105075
United States,2012,5331.467,16.812,15.252,372867.344,317115349
United States,2013,5473.436,17.099,15.516,378340.781,320110752
United States,2014,5531.385,17.119,15.596,383872.125,323115377
United States,2015,5368.497,16.461,15.164,389240.656,326126496
United States,2016,5245.362,15.935,14.82,394486.031,329179423
United States,2017,5195.417,15.639,14.442,399681.406,332204657
United States,2018,5361.236,16.001,14.595,405042.656,335056492
United States,2019,5235.912,15.5,14.118,410278.562,337790069
United States,2020,4689.954,13.817,13.34,414968.5,339436156
United States,2021,5020.111,14.758,13.617,419988.625,340161438
United States,2022,5055.403,14.802,13.471,425044.062,341534041
World,2000,25511.482,4.134,100,1045316.812,6171702992
World,2001,25692.994,4.108,100,1071009.875,6254936464
World,2002,26265.332,4.144,100,1097275.125,6337730343
World,2003,27652.691,4.307,100,1124927.875,6420361633
World,2004,28610.023,4.399,100,1153537.875,6503377774
World,2005,29598.951,4.494,100,1183136.875,6586970132
World,2006,30594.152,4.586,100,1213731,6671452019
World,2007,31499.256,4.662,100,1245230.25,6757308776
World,2008,32049.66,4.683,100,1277279.875,6844457659
World,2009,31513.014,4.546,100,1308793,6932766416
World,2010,33317.672,4.745,100,1342110.5,7021732143
World,2011,34479.988,4.849,100,1376590.625,7110923773
World,2012,34954.734,4.854,100,1411545.25,7201202478
World,2013,35275.82,4.838,100,1446821.125,7291793585
World,2014,35465.695,4.805,100,1482286.875,7381616239
World,2015,35403.527,4.739,100,1517690.375,7470491876
World,2016,35392.832,4.682,100,1553083.125,7558554527
World,2017,35974.609,4.705,100,1589057.75,7645617952
World,2018,36734.004,4.752,100,1625791.75,7729902779
World,2019,37086.566,4.748,100,1662878.375,7811293699
World,2020,35158.23,4.458,100,1698036.625,7887001289
World,2021,36866.863,4.635,100,1734903.5,7954448387
World,2022,37527.773,4.678,100,1772431.25,8021407196
